X,Variedad,Tratat_quim_semilla,Labranza,Dehierbe,Escarda,Arreglo,Barbecho,Rastreo,Nivelacion,Trazos,Reformacion_surcos,Preparacion_suelo,Fertilizacion_quimica_suelo,Fertilizacion_quimica_foliar,Biofertilizantes,Mejoradores,Control_quimico_malezas,N,P,K,TM_Avg,TX_Avg,SD_Acu,P_Acu,D_Range,TX_34_Frec,TM_15_Frec,P_10_Frec,Rendimiento,latitud_n,longitud_w,fecha_de_siembra,Drenaje_in,Arena_prc,Arcilla_pr,Limo_prc,CE,PH,MO,CIC,SB_prc,Sloperast
410,CIMARRON,0,Convencional,0,0,0,1,1,1,1,0,0,1,0,0,0,1,299,0,0,13.40772532,28.55579399,116992.0983,482,15.14806867,0.004291845,0.575107296,0.918454936,11.3,410,410,4/17/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,2.487775085
411,ANTILOPE,0,Convencional,0,0,0,1,1,1,1,0,0,2,0,0,0,1,299,0,0,13.58628319,28.64159292,113585.0631,479,15.05530973,0.008849558,0.553097345,0.915929204,10.7,411,411,4/20/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.593840192
412,P3015W,0,Convencional,0,0,0,1,1,1,1,0,0,2,0,0,0,1,212,51,51,13.20830782,28.05633803,104503.0704,464,14.84803021,0.009389671,0.521126761,0.910798122,11.1,412,412,5/17/2017,3,20,55,6,14,8.35,1.28,39.91125,100,0.036395151
413,ANTILOPE Y,0,Convencional,0,0,0,1,1,0,1,0,0,1,0,0,0,1,347.76,0,0,13.12446543,28.42827869,121845.2225,481,15.30381326,0.008196721,0.586065574,0.922131148,10.9,413,413,4/15/2017,3,20,55,6,14,8.35,1.28,39.91125,100,0.036395151
414,P3015W,0,Convencional,0,0,0,1,1,1,1,0,0,2,0,0,0,1,209.75,0,0,13.19749795,28.03066038,103948.3671,464,14.83316243,0.009433962,0.523584906,0.910377358,11,414,414,5/18/2017,3,20,55,6,14,8.35,1.28,39.91125,100,0.036395151
415,CIMARRON,0,Convencional,0,0,0,1,1,1,1,0,0,1,0,0,0,1,211.3,59.5,59.5,13.34917355,28.63016529,121730.6677,480,15.28099174,0.008264463,0.574380165,0.921487603,10.9,415,415,4/10/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.032908375
416,DEKALB 2069,0,Convencional,0,0,0,1,1,1,1,0,0,2,0,0,0,1,253,0,0,12.97932758,27.8286385,103939.314,466,14.84931092,0,0.558685446,0.910798122,11,416,416,5/22/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.712625797
417,BERRENDO,0,Convencional,0,1,0,0,1,0,1,0,0,2,0,0,0,1,247,161,0,14.41798942,28.83068783,95684.42084,452,14.41269841,0.021164021,0.417989418,0.894179894,12,417,417,5/6/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.098922125
418,P3015W,0,Convencional,0,0,0,1,1,0,1,0,0,3,0,0,0,1,413,115,0,13.6039604,28.33415842,100246.6853,439,14.73019802,0.01980198,0.465346535,0.900990099,12.5,418,418,5/18/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.036441703
419,CIMARRON,0,Convencional,0,1,0,0,1,0,1,0,0,3,0,0,0,1,302.25,184,0,14.03846154,28.57692308,97435.88349,426,14.53846154,0.020512821,0.41025641,0.902564103,8,419,419,5/15/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.138405515
420,CIMARRON,0,Ag conservacion,0,0,0,0,0,0,0,0,0,2,0,0,0,2,184,0,0,13.77688172,28.17741935,92192.28416,447,14.40053763,0.005376344,0.462365591,0.892473118,14,420,420,5/27/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.17674034
421,DEKALB 2069,0,Convencional,0,0,0,1,1,0,1,0,0,2,0,0,0,1,225.5,60,0,13.97018349,29.07798165,113239.5242,487,15.10779817,0.009174312,0.527522936,0.912844037,9,421,421,3/24/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.107234157
422,ASGROW PUMA,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,0,1,233.75,72,80,14.14766839,29.38860104,101509.6973,471,15.24093264,0.005181347,0.455958549,0.901554404,11,422,422,3/24/2017,3,20,55,6,14,8.35,1.28,39.91125,100,0.058335098
423,DEKALB 2069,0,Convencional,0,0,0,1,1,0,1,0,0,3,1,0,0,1,215.45,40.3,0.1,13.95698925,28.2311828,92262.74327,464,14.27419355,0.005376344,0.483870968,0.897849462,10.3,423,423,5/23/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.132554977
424,DEKALB 2061,0,Convencional,0,3,0,0,2,0,1,0,0,3,0,0,0,0,343.25,66,0,13.98853211,29.13761468,113575.5793,479,15.14908257,0.013761468,0.527522936,0.912844037,13,424,424,3/22/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.132554977
425,DEKALB 2069,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,0,1,235.75,50,0,14.39378238,28.85751295,98309.86889,473,14.46373057,0.010362694,0.466321244,0.901554404,9,425,425,4/26/2017,3,20,55,6,14,8.35,1.28,39.91125,100,0.151315715
426,DEKALB 2061,0,Convencional,0,1,1,0,2,0,1,0,0,3,1,0,0,3,235.8647,50.08,0.06,14.05097087,29.2815534,108009.118,480,15.23058252,0.014563107,0.495145631,0.90776699,8.5,426,426,3/20/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.132554977
427,CIMARRON,0,Ag conservacion,0,0,0,0,0,0,0,0,0,3,0,0,0,1,309.875,184,0,14.2972973,28.63243243,92903.29854,429,14.33513514,0.021621622,0.394594595,0.897297297,9,427,427,5/17/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.408827898
428,ANTILOPE,0,Ag conservacion,0,0,0,0,0,0,0,0,0,3,0,0,0,1,316.4,115,0,14.45786517,28.68258427,89803.19649,425,14.2247191,0.02247191,0.387640449,0.893258427,12,428,428,5/17/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.55405093
429,DEKALB 2061,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,0,1,261,50,0,14.06103286,29.17370892,111054.0556,479,15.11267606,0.009389671,0.511737089,0.910798122,11.3,429,429,3/23/2017,3,20,55,6,14,8.35,1.28,39.91125,100,0.062131068
430,DEKALB 2061,0,Convencional,0,2,0,1,1,0,1,0,0,3,0,0,0,1,235.75,60,0,13.97727273,29.01818182,113975.4809,474,15.04090909,0.013636364,0.527272727,0.913636364,10,430,430,3/29/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.090835954
431,P3015W,0,Convencional,0,1,0,0,2,0,1,0,0,3,0,0,0,1,235.75,50,0,13.72404372,27.99726776,90278.20867,465,14.27322404,0,0.508196721,0.896174863,10,431,431,5/30/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.090835954
432,DEKALB 2061,0,Convencional,0,2,0,0,2,0,1,0,0,3,0,0,0,0,184.5,60,0,13.66341463,28.35121951,101501.2125,473,14.68780488,0.014634146,0.482926829,0.907317073,11,432,432,5/14/2017,3,20,55,6,14,8.35,1.28,39.91125,100,0.011317976
433,CANGURO,0,Convencional,0,1,0,1,1,1,1,0,0,2,1,0,0,2,138.88,0,0,14.17346939,28.83418367,99587.67325,397,14.66071429,0.020408163,0.520408163,0.918367347,11.45,433,433,4/28/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.105782795
434,CANGURO,0,Convencional,0,1,0,1,1,1,1,0,0,2,1,0,0,2,138,0,0,14.17346939,28.84183673,99681.39894,397,14.66836735,0.015306122,0.520408163,0.918367347,11.7,434,434,4/28/2017,4,30,34,16,2,7.416145833,0.585,25.36802083,95.08770833,0.156669598
435,ANTILOPE,0,Convencional,0,0,0,1,1,0,1,0,0,1,0,0,0,1,299,0,0,13.54059829,28.69017094,118363.3953,465,15.14957265,0.004273504,0.568376068,0.923076923,10.85,435,435,4/10/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.788920183
436,CANGURO,0,Convencional,0,1,0,1,1,1,1,0,0,2,1,0,0,2,141.5,48.2,0.26,14.20707071,28.88131313,101205.6091,397,14.67424242,0.02020202,0.52020202,0.919191919,11.5,436,436,4/25/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.13994561
437,DEKALB 2061,0,Convencional,0,0,1,0,1,1,1,0,0,1,0,0,0,2,460,0,0,13.59656652,28.72532189,117860.9515,480,15.12875536,0.008583691,0.557939914,0.918454936,10.5,437,437,4/10/2017,3,20,55,6,14,8.35,1.28,39.91125,100,0.036395151
438,CANGURO,0,Convencional,0,1,0,1,1,1,1,0,0,2,1,0,0,2,241,48,0,13.19849246,27.89949749,97494.58036,385,14.70100503,0.005025126,0.572864322,0.91959799,11.12,438,438,5/25/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.105782795
439,CANGURO,0,Convencional,0,2,0,1,1,1,1,0,0,2,1,0,0,1,222.3,68.45,12.15,14.15561224,28.78571429,99422.97068,402,14.63010204,0.015306122,0.525510204,0.908163265,10.6,439,439,4/29/2017,4,30,34,16,2,7.416145833,0.585,25.36802083,95.08770833,0.079464544
